timestamp,classifier,accuracy,n_mfcc,hop_length,n_fft,test_size
2024-11-30 16:40:33,Custom Naive Bayes,32.41%,20,128,512,0.3
2024-11-30 16:40:33,Custom Naive Bayes,30.03%,20,128,512,0.4
2024-11-30 16:40:33,Custom Naive Bayes,30.83%,20,128,512,0.5
2024-11-30 16:40:57,Custom Naive Bayes,31.25%,20,128,1024,0.1
2024-11-30 16:40:57,Custom Naive Bayes,28.47%,20,128,1024,0.2
2024-11-30 16:40:57,Custom Naive Bayes,31.25%,20,128,1024,0.3
2024-11-30 16:40:57,Custom Naive Bayes,27.95%,20,128,1024,0.4
2024-11-30 16:40:57,Custom Naive Bayes,28.19%,20,128,1024,0.5
2024-11-30 16:41:39,Custom Naive Bayes,34.72%,20,128,2048,0.1
2024-11-30 16:41:40,Custom Naive Bayes,29.17%,20,128,2048,0.2
2024-11-30 16:41:40,Custom Naive Bayes,31.48%,20,128,2048,0.3
2024-11-30 16:41:40,Custom Naive Bayes,31.60%,20,128,2048,0.4
2024-11-30 16:41:40,Custom Naive Bayes,31.94%,20,128,2048,0.5
2024-11-30 16:41:49,Custom Naive Bayes,38.19%,20,256,512,0.1
2024-11-30 16:41:49,Custom Naive Bayes,32.29%,20,256,512,0.2
2024-11-30 16:41:49,Custom Naive Bayes,32.18%,20,256,512,0.3
2024-11-30 16:41:49,Custom Naive Bayes,30.73%,20,256,512,0.4
2024-11-30 16:41:49,Custom Naive Bayes,32.08%,20,256,512,0.5
2024-11-30 16:42:04,Custom Naive Bayes,36.11%,20,256,1024,0.1
2024-11-30 16:42:04,Custom Naive Bayes,34.03%,20,256,1024,0.2
2024-11-30 16:42:04,Custom Naive Bayes,34.26%,20,256,1024,0.3
2024-11-30 16:42:04,Custom Naive Bayes,32.12%,20,256,1024,0.4
2024-11-30 16:42:05,Custom Naive Bayes,30.83%,20,256,1024,0.5
2024-11-30 16:42:29,Custom Naive Bayes,34.72%,20,256,2048,0.1
2024-11-30 16:42:29,Custom Naive Bayes,31.94%,20,256,2048,0.2
2024-11-30 16:42:29,Custom Naive Bayes,33.10%,20,256,2048,0.3
2024-11-30 16:42:29,Custom Naive Bayes,32.64%,20,256,2048,0.4
2024-11-30 16:42:29,Custom Naive Bayes,32.22%,20,256,2048,0.5
2024-11-30 16:42:35,Custom Naive Bayes,40.97%,20,512,512,0.1
2024-11-30 16:42:35,Custom Naive Bayes,34.03%,20,512,512,0.2
2024-11-30 16:42:35,Custom Naive Bayes,32.18%,20,512,512,0.3
2024-11-30 16:42:35,Custom Naive Bayes,30.73%,20,512,512,0.4
2024-11-30 16:42:35,Custom Naive Bayes,29.58%,20,512,512,0.5
2024-11-30 16:42:44,Custom Naive Bayes,36.81%,20,512,1024,0.1
2024-11-30 16:42:44,Custom Naive Bayes,33.33%,20,512,1024,0.2
2024-11-30 16:42:44,Custom Naive Bayes,33.10%,20,512,1024,0.3
2024-11-30 16:42:44,Custom Naive Bayes,33.85%,20,512,1024,0.4
2024-11-30 16:42:44,Custom Naive Bayes,32.50%,20,512,1024,0.5
2024-11-30 16:43:00,Custom Naive Bayes,37.50%,20,512,2048,0.1
2024-11-30 16:43:00,Custom Naive Bayes,34.38%,20,512,2048,0.2
2024-11-30 16:43:00,Custom Naive Bayes,32.87%,20,512,2048,0.3
2024-11-30 16:43:00,Custom Naive Bayes,32.29%,20,512,2048,0.4
2024-11-30 16:43:00,Custom Naive Bayes,31.67%,20,512,2048,0.5
2024-11-30 16:43:05,Custom Naive Bayes,37.50%,20,1024,512,0.1
2024-11-30 16:43:05,Custom Naive Bayes,32.29%,20,1024,512,0.2
2024-11-30 16:43:05,Custom Naive Bayes,31.25%,20,1024,512,0.3
2024-11-30 16:43:05,Custom Naive Bayes,30.03%,20,1024,512,0.4
2024-11-30 16:43:06,Custom Naive Bayes,29.58%,20,1024,512,0.5
2024-11-30 16:43:12,Custom Naive Bayes,38.89%,20,1024,1024,0.1
2024-11-30 16:43:12,Custom Naive Bayes,35.42%,20,1024,1024,0.2
2024-11-30 16:43:12,Custom Naive Bayes,31.94%,20,1024,1024,0.3
2024-11-30 16:43:12,Custom Naive Bayes,31.25%,20,1024,1024,0.4
2024-11-30 16:43:12,Custom Naive Bayes,30.14%,20,1024,1024,0.5
2024-11-30 16:43:22,Custom Naive Bayes,40.97%,20,1024,2048,0.1
2024-11-30 16:43:22,Custom Naive Bayes,33.68%,20,1024,2048,0.2
2024-11-30 16:43:22,Custom Naive Bayes,31.71%,20,1024,2048,0.3
2024-11-30 16:43:22,Custom Naive Bayes,30.73%,20,1024,2048,0.4
2024-11-30 16:43:22,Custom Naive Bayes,29.58%,20,1024,2048,0.5
2024-11-30 16:43:39,Custom Naive Bayes,32.64%,24,128,512,0.1
2024-11-30 16:43:39,Custom Naive Bayes,28.47%,24,128,512,0.2
2024-11-30 16:43:39,Custom Naive Bayes,30.56%,24,128,512,0.3
2024-11-30 16:43:39,Custom Naive Bayes,28.99%,24,128,512,0.4
2024-11-30 16:43:39,Custom Naive Bayes,28.89%,24,128,512,0.5
2024-11-30 16:44:03,Custom Naive Bayes,31.94%,24,128,1024,0.1
2024-11-30 16:44:03,Custom Naive Bayes,30.90%,24,128,1024,0.2
2024-11-30 16:44:03,Custom Naive Bayes,30.32%,24,128,1024,0.3
2024-11-30 16:44:03,Custom Naive Bayes,28.30%,24,128,1024,0.4
2024-11-30 16:44:03,Custom Naive Bayes,28.06%,24,128,1024,0.5
2024-11-30 16:44:44,Custom Naive Bayes,34.72%,24,128,2048,0.1
2024-11-30 16:44:44,Custom Naive Bayes,33.33%,24,128,2048,0.2
2024-11-30 16:44:44,Custom Naive Bayes,32.18%,24,128,2048,0.3
2024-11-30 16:44:44,Custom Naive Bayes,31.60%,24,128,2048,0.4
2024-11-30 16:44:44,Custom Naive Bayes,31.25%,24,128,2048,0.5
2024-11-30 16:44:53,Custom Naive Bayes,35.42%,24,256,512,0.1
2024-11-30 16:44:53,Custom Naive Bayes,31.25%,24,256,512,0.2
2024-11-30 16:44:53,Custom Naive Bayes,29.86%,24,256,512,0.3
2024-11-30 16:44:53,Custom Naive Bayes,28.12%,24,256,512,0.4
2024-11-30 16:44:53,Custom Naive Bayes,30.69%,24,256,512,0.5
2024-11-30 16:45:08,Custom Naive Bayes,35.42%,24,256,1024,0.1
2024-11-30 16:45:08,Custom Naive Bayes,34.38%,24,256,1024,0.2
2024-11-30 16:45:08,Custom Naive Bayes,34.72%,24,256,1024,0.3
2024-11-30 16:45:08,Custom Naive Bayes,32.29%,24,256,1024,0.4
2024-11-30 16:45:08,Custom Naive Bayes,29.86%,24,256,1024,0.5
2024-11-30 16:45:32,Custom Naive Bayes,33.33%,24,256,2048,0.1
2024-11-30 16:45:32,Custom Naive Bayes,35.42%,24,256,2048,0.2
2024-11-30 16:45:32,Custom Naive Bayes,34.03%,24,256,2048,0.3
2024-11-30 16:45:32,Custom Naive Bayes,32.64%,24,256,2048,0.4
2024-11-30 16:45:32,Custom Naive Bayes,30.83%,24,256,2048,0.5
2024-11-30 16:45:37,Custom Naive Bayes,40.97%,24,512,512,0.1
2024-11-30 16:45:38,Custom Naive Bayes,32.64%,24,512,512,0.2
2024-11-30 16:45:38,Custom Naive Bayes,29.17%,24,512,512,0.3
2024-11-30 16:45:38,Custom Naive Bayes,28.65%,24,512,512,0.4
2024-11-30 16:45:38,Custom Naive Bayes,29.58%,24,512,512,0.5
2024-11-30 16:45:46,Custom Naive Bayes,37.50%,24,512,1024,0.1
2024-11-30 16:45:46,Custom Naive Bayes,36.81%,24,512,1024,0.2
2024-11-30 16:45:46,Custom Naive Bayes,34.95%,24,512,1024,0.3
2024-11-30 16:45:46,Custom Naive Bayes,33.85%,24,512,1024,0.4
2024-11-30 16:45:46,Custom Naive Bayes,31.81%,24,512,1024,0.5
2024-11-30 16:46:01,Custom Naive Bayes,33.33%,24,512,2048,0.1
2024-11-30 16:46:01,Custom Naive Bayes,36.11%,24,512,2048,0.2
2024-11-30 16:46:01,Custom Naive Bayes,34.72%,24,512,2048,0.3
2024-11-30 16:46:01,Custom Naive Bayes,34.03%,24,512,2048,0.4
2024-11-30 16:46:01,Custom Naive Bayes,31.81%,24,512,2048,0.5
2024-11-30 16:46:05,Custom Naive Bayes,36.81%,24,1024,512,0.1
2024-11-30 16:46:05,Custom Naive Bayes,31.60%,24,1024,512,0.2
2024-11-30 16:46:06,Custom Naive Bayes,28.70%,24,1024,512,0.3
2024-11-30 16:46:06,Custom Naive Bayes,30.38%,24,1024,512,0.4
2024-11-30 16:46:06,Custom Naive Bayes,29.86%,24,1024,512,0.5
2024-11-30 16:46:11,Custom Naive Bayes,36.11%,24,1024,1024,0.1
2024-11-30 16:46:11,Custom Naive Bayes,32.99%,24,1024,1024,0.2
2024-11-30 16:46:12,Custom Naive Bayes,31.48%,24,1024,1024,0.3
2024-11-30 16:46:12,Custom Naive Bayes,31.77%,24,1024,1024,0.4
2024-11-30 16:46:12,Custom Naive Bayes,30.69%,24,1024,1024,0.5
2024-11-30 16:46:21,Custom Naive Bayes,35.42%,24,1024,2048,0.1
2024-11-30 16:46:21,Custom Naive Bayes,32.29%,24,1024,2048,0.2
2024-11-30 16:46:21,Custom Naive Bayes,30.56%,24,1024,2048,0.3
2024-11-30 16:46:21,Custom Naive Bayes,31.25%,24,1024,2048,0.4
2024-11-30 16:46:21,Custom Naive Bayes,30.97%,24,1024,2048,0.5
2024-11-30 16:46:36,Custom Naive Bayes,31.25%,28,128,512,0.1
2024-11-30 16:46:36,Custom Naive Bayes,30.56%,28,128,512,0.2
2024-11-30 16:46:36,Custom Naive Bayes,30.09%,28,128,512,0.3
2024-11-30 16:46:36,Custom Naive Bayes,29.51%,28,128,512,0.4
2024-11-30 16:46:36,Custom Naive Bayes,29.03%,28,128,512,0.5
2024-11-30 16:46:59,Custom Naive Bayes,32.64%,28,128,1024,0.1
2024-11-30 16:46:59,Custom Naive Bayes,30.21%,28,128,1024,0.2
2024-11-30 16:46:59,Custom Naive Bayes,29.17%,28,128,1024,0.3
2024-11-30 16:46:59,Custom Naive Bayes,28.47%,28,128,1024,0.4
2024-11-30 16:46:59,Custom Naive Bayes,27.50%,28,128,1024,0.5
2024-11-30 16:47:44,Custom Naive Bayes,34.03%,28,128,2048,0.1
2024-11-30 16:47:44,Custom Naive Bayes,33.68%,28,128,2048,0.2
2024-11-30 16:47:44,Custom Naive Bayes,30.09%,28,128,2048,0.3
2024-11-30 16:47:44,Custom Naive Bayes,31.42%,28,128,2048,0.4
2024-11-30 16:47:44,Custom Naive Bayes,30.56%,28,128,2048,0.5
2024-11-30 16:47:53,Custom Naive Bayes,35.42%,28,256,512,0.1
2024-11-30 16:47:53,Custom Naive Bayes,29.86%,28,256,512,0.2
2024-11-30 16:47:53,Custom Naive Bayes,29.40%,28,256,512,0.3
2024-11-30 16:47:53,Custom Naive Bayes,29.51%,28,256,512,0.4
2024-11-30 16:47:53,Custom Naive Bayes,30.42%,28,256,512,0.5
2024-11-30 16:48:07,Custom Naive Bayes,34.72%,28,256,1024,0.1
2024-11-30 16:48:07,Custom Naive Bayes,34.72%,28,256,1024,0.2
2024-11-30 16:48:07,Custom Naive Bayes,32.87%,28,256,1024,0.3
2024-11-30 16:48:08,Custom Naive Bayes,30.90%,28,256,1024,0.4
2024-11-30 16:48:08,Custom Naive Bayes,29.03%,28,256,1024,0.5
2024-11-30 16:48:31,Custom Naive Bayes,32.64%,28,256,2048,0.1
2024-11-30 16:48:31,Custom Naive Bayes,34.03%,28,256,2048,0.2
2024-11-30 16:48:31,Custom Naive Bayes,31.71%,28,256,2048,0.3
2024-11-30 16:48:31,Custom Naive Bayes,31.08%,28,256,2048,0.4
2024-11-30 16:48:31,Custom Naive Bayes,30.56%,28,256,2048,0.5
2024-11-30 16:48:37,Custom Naive Bayes,34.03%,28,512,512,0.1
2024-11-30 16:48:37,Custom Naive Bayes,30.90%,28,512,512,0.2
2024-11-30 16:48:37,Custom Naive Bayes,29.86%,28,512,512,0.3
2024-11-30 16:48:37,Custom Naive Bayes,28.47%,28,512,512,0.4
2024-11-30 16:48:37,Custom Naive Bayes,29.31%,28,512,512,0.5
2024-11-30 16:48:46,Custom Naive Bayes,36.11%,28,512,1024,0.1
