n_mfcc,hop_length,n_fft,test_size,accuracy
24,512,512,0.3,29.166666666666668
24,512,512,0.4,28.645833333333332
24,512,512,0.5,29.583333333333332
24,512,1024,0.1,37.5
24,512,1024,0.2,36.80555555555556
24,512,1024,0.3,34.9537037037037
24,512,1024,0.4,33.85416666666667
24,512,1024,0.5,31.805555555555554
24,512,2048,0.1,33.33333333333333
24,512,2048,0.2,36.11111111111111
24,512,2048,0.3,34.72222222222222
24,512,2048,0.4,34.02777777777778
24,512,2048,0.5,31.805555555555554
24,1024,512,0.1,36.80555555555556
24,1024,512,0.2,31.59722222222222
24,1024,512,0.3,28.703703703703702
24,1024,512,0.4,30.381944444444443
24,1024,512,0.5,29.86111111111111
24,1024,1024,0.1,36.11111111111111
24,1024,1024,0.2,32.98611111111111
24,1024,1024,0.3,31.48148148148148
24,1024,1024,0.4,31.770833333333332
24,1024,1024,0.5,30.694444444444446
24,1024,2048,0.1,35.41666666666667
24,1024,2048,0.2,32.29166666666667
24,1024,2048,0.3,30.555555555555557
24,1024,2048,0.4,31.25
24,1024,2048,0.5,30.97222222222222
28,256,512,0.1,35.41666666666667
28,256,512,0.2,29.86111111111111
28,256,512,0.3,29.398148148148145
28,256,512,0.4,29.51388888888889
28,256,512,0.5,30.416666666666664
28,256,1024,0.1,34.72222222222222
28,256,1024,0.2,34.72222222222222
28,256,1024,0.3,32.870370370370374
28,256,1024,0.4,30.90277777777778
28,256,1024,0.5,29.02777777777778
28,256,2048,0.1,32.63888888888889
28,256,2048,0.2,34.02777777777778
28,256,2048,0.3,31.712962962962965
28,256,2048,0.4,31.07638888888889
28,256,2048,0.5,30.555555555555557
28,512,512,0.1,34.02777777777778
28,512,512,0.2,30.90277777777778
28,512,512,0.3,29.86111111111111
28,512,512,0.4,28.47222222222222
28,512,512,0.5,29.305555555555557
28,512,1024,0.1,36.11111111111111
28,512,1024,0.2,37.84722222222222
28,512,1024,0.3,35.41666666666667
28,512,1024,0.4,34.02777777777778
28,512,1024,0.5,30.97222222222222
28,512,2048,0.1,32.63888888888889
28,512,2048,0.2,35.06944444444444
28,512,2048,0.3,33.56481481481482
28,512,2048,0.4,33.50694444444444
28,512,2048,0.5,32.5
28,1024,512,0.1,36.11111111111111
28,1024,512,0.2,30.90277777777778
28,1024,512,0.3,28.009259259259263
28,1024,512,0.4,29.51388888888889
28,1024,512,0.5,27.916666666666668
28,1024,1024,0.1,34.02777777777778
28,1024,1024,0.2,34.02777777777778
28,1024,1024,0.3,32.870370370370374
28,1024,1024,0.4,31.07638888888889
28,1024,1024,0.5,30.833333333333336
28,1024,2048,0.1,34.02777777777778
28,1024,2048,0.2,34.375
28,1024,2048,0.3,31.944444444444443
28,1024,2048,0.4,31.25
28,1024,2048,0.5,31.805555555555554
30,256,512,0.1,35.41666666666667
30,256,512,0.2,29.166666666666668
30,256,512,0.3,29.629629629629626
30,256,512,0.4,28.645833333333332
30,256,512,0.5,30.138888888888886
30,256,1024,0.1,34.72222222222222
30,256,1024,0.2,34.72222222222222
30,256,1024,0.3,31.712962962962965
30,256,1024,0.4,30.03472222222222
30,256,1024,0.5,29.444444444444446
30,256,2048,0.1,32.63888888888889
30,256,2048,0.2,32.63888888888889
30,256,2048,0.3,30.324074074074076
30,256,2048,0.4,31.07638888888889
30,256,2048,0.5,30.0
30,512,512,0.1,32.63888888888889
30,512,512,0.2,29.86111111111111
30,512,512,0.3,28.935185185185187
30,512,512,0.4,28.125
30,512,512,0.5,28.61111111111111
30,512,1024,0.1,36.11111111111111
30,512,1024,0.2,36.45833333333333
30,512,1024,0.3,34.72222222222222
30,512,1024,0.4,32.29166666666667
30,512,1024,0.5,30.416666666666664
30,512,2048,0.1,32.63888888888889
30,512,2048,0.2,34.72222222222222
30,512,2048,0.3,32.407407407407405
30,512,2048,0.4,31.944444444444443
30,512,2048,0.5,30.833333333333336
30,1024,512,0.1,33.33333333333333
30,1024,512,0.2,30.208333333333332
30,1024,512,0.3,29.86111111111111
30,1024,512,0.4,28.819444444444443
30,1024,512,0.5,27.361111111111114
30,1024,1024,0.1,34.02777777777778
30,1024,1024,0.2,33.33333333333333
30,1024,1024,0.3,31.712962962962965
30,1024,1024,0.4,30.90277777777778
30,1024,1024,0.5,30.694444444444446
30,1024,2048,0.1,31.944444444444443
30,1024,2048,0.2,33.33333333333333
30,1024,2048,0.3,31.48148148148148
30,1024,2048,0.4,30.90277777777778
30,1024,2048,0.5,31.25
